[2025-07-22 16:44:14] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:52] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:53] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:54] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:55] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:56] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:57] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:58] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:03:59] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 17:04:00] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
